category,keyword,explanation,fun_fact,image_path,video_link
Science,PHOTOSYNTHESIS,"Photosynthesis is the process by which green plants make food using sunlight.","Sunflowers can turn their heads to follow the sun.",,
Science,NEWTON'S LAWS,"Newton's laws explain the relationship between motion and forces.","Isaac Newton was also interested in alchemy.",,
Science,GRAVITY,"Gravity is the force that pulls objects toward the center of the Earth.","On the Moon, gravity is about 1/6th as strong as on Earth.","D:\PROJECTS\FlashcardReader\images\gravity.jpeg",
History,INDUS VALLEY,"The Indus Valley Civilization was one of the world's earliest urban cultures.","They had advanced drainage systems over 4,000 years ago.",,
History,INDIAN INDEPENDENCE,"India gained independence from British rule on August 15, 1947.","The tricolor flag was first hoisted by Jawaharlal Nehru at the Red Fort.",,
Math,PYTHAGORAS THEOREM,"In a right triangle, the square of the hypotenuse equals the sum of the squares of the other two sides.","Pythagoras also studied music and believed it was based on mathematics.",,
Math,PI,"Pi is the ratio of a circle's circumference to its diameter, approximately 3.14159.","Pi has been calculated to over 50 trillion digits by computers.",,
Geography,EVEREST,"Mount Everest is the highest mountain on Earth, located in the Himalayas.","The summit is in the 'death zone' where oxygen levels are very low.",,
Geography,AMAZON RIVER,"The Amazon River is the largest river by discharge volume of water in the world.","Some parts of the Amazon have pink dolphins.","D:\PROJECTS\FlashcardReader\images\amazonriver.jpeg",
Science,CELL,"The cell is the basic unit of life in all living organisms.","A single human cell contains about 6 feet of DNA.",,
History,MOHENJO-DARO,"Mohenjo-Daro was a major city of the Indus Valley Civilization.","Its name means 'Mound of the Dead' in Sindhi.","D:\PROJECTS\FlashcardReader\images\daro.jpeg",
Math,PRIME NUMBERS,"A prime number is a natural number greater than 1 that has no positive divisors other than 1 and itself.","The largest known prime number has more than 24 million digits.",,
Geography,SAHARA DESERT,"The Sahara is the largest hot desert in the world.","It was once a lush green land with rivers and lakes.",,
Science,ATOM,"An atom is the smallest unit of matter that retains the identity of a chemical element.","If an atom were the size of a stadium, its nucleus would be the size of a pea.",,
